地区,2018年,2017年,2016年,2015年,2014年
北京,27.8,30.6,29.2,26.2,23
天津,26.9,29.2,28.6,25.7,29
河北,45.3,42.4,41.6,39.7,38.8
山西,35,32.6,31.7,32,30.5
内蒙古,30.1,32.3,28.6,29.2,29.7
辽宁,33.6,32,31.3,30.7,28.9
吉林,32.7,32.7,30.7,29.7,28.8
黑龙江,29.5,28.3,28.2,27.3,26.6
上海,33,31.9,29.3,28.5,24.7
江苏,38.9,37.7,37.4,35.6,34.8
浙江,36.4,32.7,32.6,31.9,27.6
安徽,46.6,47.3,40.9,40.8,39.5
福建,35.5,38.9,39.4,36.2,33.7
江西,42.9,45.7,44.6,44,42.8
山东,49.6,44.1,40,38.9,37.5
河南,47.8,46.4,44.6,44.6,42.2
湖北,38.6,39,37.1,35.9,35.6
湖南,47,44.1,43,42.1,41.2
广东,33.6,32.6,32.3,30.5,32.9
广西,46.8,47.1,45,47.9,45.8
海南,37.7,38.9,38.9,39.4,36.4
重庆,45.8,44.2,41.7,40.6,41.6
四川,45.7,42.4,42.2,40.5,43.3
贵州,50.6,45.4,46.8,46.9,45.6
云南,38.2,37.6,38.7,38,38.3
西藏,41.3,42.4,40.9,41.4,43
陕西,34.3,36.5,34.4,34,34.3
甘肃,40.7,38.7,36.8,36,33.9
青海,37.3,38.8,36.9,37.3,34.1
宁夏,41,36.7,36.9,37.9,36.1
新疆,42.4,43.2,42.4,40.7,38.9
