province,2018年,2017年,2016年,2015年,2014年,increase
北京,37420.19,34117,28489,22300,18499,19.26
天津,15924.26,15139,12870,9931,8828,15.89
河北,7566.72,7039,6290,5530,4988,10.98
山西,6649.11,5457,4788,4742,4462,10.94
内蒙古,5339.79,4239,4042,3939,3833,8.64
辽宁,7358.35,6458,5876,5486,5107,9.56
吉林,6800.56,5748,4946,5213,4810,9.04
黑龙江,6678.06,6073,5029,4818,4517,10.27
上海,28981.11,24866,25910,21501,16415,15.27
江苏,10542.48,9070,8734,7177,6783,11.66
浙江,15242.01,13430,11447,10755,10586,9.54
安徽,6937.06,6137,5637,5067,5017,8.44
福建,10612.64,9284,9175,8565,8843,4.67
江西,6539.84,5800,5331,5107,4971,7.1
山东,7386.25,6153,5728,5290,5029,10.09
河南,5530.6,5038,4774,4317,3909,9.06
湖北,8135.76,7307,6457,5663,5085,12.47
湖南,5473.14,4846,4330,3974,3830,9.34
广东,12915.25,11416,10936,9495,8526,10.94
广西,5958.53,5623,5042,4587,4442,7.62
海南,14104.76,11381,9775,9226,9262,11.09
重庆,8189.98,6605,5162,5012,5094,12.6
四川,6691.23,5888,5449,5034,5092,7.07
贵州,5129.19,4165,3704,3629,3694,8.55
云南,7384.44,5664,4812,4800,4451,13.49
西藏,6914.73,5604,4876,3605,5323,6.76
陕西,7921.85,6477,5264,5082,4823,13.21
甘肃,5387.05,5326,4817,4613,4234,6.21
青海,5936.6,5298,4612,4241,4294,8.43
宁夏,4736.94,4243,3925,4010,3747,6.04
新疆,5427.31,4538,4204,4176,4057,7.55
